Source;Target
1A;2A
1A;3A
1A;4A
1A;5A
1A;6A
1A;8A
1A;9A
1A;10A
1A;11A
1A;12A
1A;13A
1A;14A
1A;15A
1A;16A
2A;19A
2A;129A
2A;3A
2A;184A
2A;5A
2A;186A
2A;27A
2A;34A
2A;187A
2A;8A
2A;38A
2A;83A
2A;42A
2A;109A
2A;10A
2A;188A
2A;46A
2A;11A
2A;12A
2A;13A
2A;166A
2A;57A
2A;76A
3A;95A
3A;149A
3A;18A
3A;169A
3A;179A
3A;2A
3A;19A
3A;129A
3A;150A
3A;212A
3A;235A
3A;4A
3A;165A
3A;22A
3A;96A
3A;23A
3A;90A
3A;5A
3A;133A
3A;25A
3A;200A
3A;26A
3A;27A
3A;98A
3A;99A
3A;171A
3A;151A
3A;158A
3A;240A
3A;203A
3A;241A
3A;91A
3A;80A
3A;6A
3A;101A
3A;32A
3A;205A
3A;152A
3A;64A
3A;34A
3A;242A
3A;103A
3A;172A
3A;8A
3A;104A
3A;36A
3A;105A
3A;106A
3A;81A
3A;265A
3A;82A
3A;93A
3A;9A
3A;107A
3A;108A
3A;38A
3A;83A
3A;40A
3A;41A
3A;42A
3A;44A
3A;109A
3A;110A
3A;154A
3A;193A
3A;69A
3A;182A
3A;46A
3A;72A
3A;144A
3A;11A
3A;12A
3A;13A
3A;47A
3A;14A
3A;48A
3A;173A
3A;111A
3A;49A
3A;211A
3A;112A
3A;266A
3A;50A
3A;51A
4A;3A
4A;235A
4A;260A
4A;5A
4A;26A
4A;240A
4A;91A
4A;6A
4A;82A
4A;83A
4A;40A
4A;11A
5A;89A
5A;2A
5A;258A
5A;3A
5A;235A
5A;165A
5A;22A
5A;184A
5A;131A
5A;25A
5A;186A
5A;26A
5A;27A
5A;99A
5A;75A
5A;240A
5A;91A
5A;80A
5A;6A
5A;101A
5A;32A
5A;34A
5A;103A
5A;8A
5A;104A
5A;93A
5A;107A
5A;108A
5A;246A
5A;83A
5A;42A
5A;46A
5A;249A
5A;11A
5A;12A
5A;13A
5A;47A
5A;14A
5A;49A
5A;50A
6A;3A
6A;5A
6A;80A
6A;153A
6A;112A
6A;121A
6A;462A
8A;2A
8A;19A
8A;258A
8A;3A
8A;235A
8A;4A
8A;184A
8A;170A
8A;131A
8A;5A
8A;25A
8A;26A
8A;27A
8A;28A
8A;75A
8A;240A
8A;195A
8A;32A
8A;187A
8A;103A
8A;424A
8A;104A
8A;243A
8A;82A
8A;93A
8A;9A
8A;107A
8A;108A
8A;245A
8A;83A
8A;69A
8A;46A
8A;249A
8A;11A
8A;12A
8A;14A
8A;111A
8A;49A
8A;112A
8A;50A
8A;15A
8A;198A
9A;4A
9A;97A
9A;6A
9A;35A
9A;40A
9A;94A
9A;485A
9A;118A
9A;127A
10A;2A
10A;19A
10A;3A
10A;5A
10A;133A
10A;27A
10A;242A
10A;172A
10A;38A
10A;72A
10A;11A
10A;403A
10A;678A
10A;117A
11A;3A
11A;79A
11A;170A
11A;75A
11A;6A
11A;35A
11A;197A
11A;166A
11A;94A
11A;699A
12A;2A
12A;3A
12A;5A
12A;35A
12A;108A
12A;83A
12A;69A
12A;46A
12A;11A
12A;47A
12A;111A
12A;94A
12A;76A
12A;114A
12A;115A
12A;116A
12A;118A
12A;55A
12A;125A
12A;222A
13A;1A
13A;95A
13A;149A
13A;20A
13A;150A
13A;3A
13A;130A
13A;79A
13A;165A
13A;22A
13A;184A
13A;157A
13A;96A
13A;23A
13A;90A
13A;5A
13A;200A
13A;186A
13A;26A
13A;27A
13A;99A
13A;151A
13A;241A
13A;359A
13A;80A
13A;6A
13A;101A
13A;140A
13A;32A
13A;205A
13A;152A
13A;102A
13A;284A
13A;103A
13A;172A
13A;8A
13A;104A
13A;36A
13A;106A
13A;243A
13A;265A
13A;153A
13A;82A
13A;9A
13A;244A
13A;107A
13A;108A
13A;38A
13A;40A
13A;247A
13A;41A
13A;42A
13A;44A
13A;109A
13A;110A
13A;154A
13A;69A
13A;71A
13A;182A
13A;46A
13A;72A
13A;11A
13A;12A
13A;47A
13A;14A
13A;48A
13A;173A
13A;111A
13A;49A
13A;167A
13A;211A
13A;112A
13A;94A
13A;76A
13A;50A
13A;183A
13A;121A
13A;15A
14A;3A
14A;130A
14A;79A
14A;235A
14A;22A
14A;184A
14A;5A
14A;186A
14A;26A
14A;27A
14A;98A
14A;99A
14A;75A
14A;158A
14A;240A
14A;241A
14A;91A
14A;80A
14A;6A
14A;32A
14A;33A
14A;284A
14A;103A
14A;172A
14A;35A
14A;8A
14A;424A
14A;36A
14A;243A
14A;9A
14A;244A
14A;107A
14A;66A
14A;83A
14A;40A
14A;42A
14A;43A
14A;69A
14A;46A
14A;72A
14A;11A
14A;12A
14A;49A
14A;286A
14A;112A
14A;266A
14A;94A
15A;425A
15A;403A
15A;551A
15A;771A
15A;117A
15A;118A
15A;224A
15A;177A
15A;594A
15A;198A
15A;462A
15A;122A
15A;777A
16A;587A
16A;403A
16A;115A
16A;350A
16A;582A
16A;118A
16A;539A
16A;224A
16A;177A
16A;786A
16A;121A
16A;168A
16A;15A
16A;462A
16A;755A
16A;127A
17A;1A
17A;18A
17A;19A
17A;20A
17A;3A
17A;22A
17A;23A
17A;5A
17A;25A
17A;26A
17A;27A
17A;28A
17A;29A
17A;6A
17A;31A
17A;32A
17A;33A
17A;34A
17A;35A
17A;36A
17A;37A
17A;9A
17A;38A
17A;39A
17A;40A
17A;41A
17A;42A
17A;43A
17A;44A
17A;45A
17A;46A
17A;11A
17A;12A
17A;13A
17A;47A
17A;14A
17A;48A
17A;49A
17A;50A
17A;51A
18A;149A
18A;2A
18A;3A
18A;79A
18A;22A
18A;157A
18A;23A
18A;5A
18A;133A
18A;27A
18A;158A
18A;6A
18A;103A
18A;38A
18A;159A
18A;41A
18A;43A
18A;45A
18A;68A
18A;154A
18A;71A
18A;46A
18A;11A
18A;12A
18A;14A
18A;146A
18A;112A
18A;94A
18A;160A
19A;2A
19A;19A
19A;3A
19A;165A
19A;184A
19A;5A
19A;186A
19A;34A
19A;187A
19A;8A
19A;38A
19A;83A
19A;42A
19A;109A
19A;188A
19A;46A
19A;11A
19A;12A
19A;13A
19A;76A
19A;183A
20A;128A
20A;150A
20A;199A
20A;3A
20A;23A
20A;5A
20A;134A
20A;200A
20A;201A
20A;27A
20A;151A
20A;202A
20A;203A
20A;204A
20A;6A
20A;140A
20A;205A
20A;64A
20A;206A
20A;207A
20A;208A
20A;108A
20A;83A
20A;39A
20A;209A
20A;69A
20A;71A
20A;11A
20A;12A
20A;13A
20A;47A
20A;210A
20A;49A
20A;167A
20A;145A
20A;211A
20A;112A
22A;89A
22A;95A
22A;212A
22A;3A
22A;79A
22A;165A
22A;282A
22A;170A
22A;96A
22A;23A
22A;90A
22A;5A
22A;134A
22A;200A
22A;26A
22A;27A
22A;98A
22A;99A
22A;171A
22A;151A
22A;75A
22A;158A
22A;203A
22A;91A
22A;80A
22A;6A
22A;101A
22A;140A
22A;32A
22A;205A
22A;152A
22A;64A
22A;33A
22A;102A
22A;103A
22A;172A
22A;207A
22A;8A
22A;104A
22A;36A
22A;105A
22A;106A
22A;81A
22A;243A
22A;265A
22A;153A
22A;82A
22A;37A
22A;93A
22A;9A
22A;244A
22A;107A
22A;108A
22A;38A
22A;215A
22A;245A
22A;246A
22A;83A
22A;290A
22A;39A
22A;40A
22A;322A
22A;42A
22A;43A
22A;44A
22A;109A
22A;68A
22A;10A
22A;110A
22A;154A
22A;69A
22A;182A
22A;46A
22A;72A
22A;11A
22A;12A
22A;13A
22A;217A
22A;47A
22A;14A
22A;48A
22A;173A
22A;49A
22A;167A
22A;146A
22A;211A
22A;286A
22A;112A
22A;266A
22A;94A
22A;50A
22A;51A
23A;18A
23A;161A
23A;169A
23A;2A
23A;19A
23A;129A
23A;20A
23A;150A
23A;212A
23A;3A
23A;79A
23A;4A
23A;165A
23A;282A
23A;22A
23A;325A
23A;184A
23A;157A
23A;96A
23A;326A
23A;380A
23A;90A
23A;5A
23A;200A
23A;27A
23A;99A
23A;171A
23A;151A
23A;75A
23A;158A
23A;239A
23A;137A
23A;63A
23A;382A
23A;138A
23A;241A
23A;91A
23A;80A
23A;383A
23A;140A
23A;32A
23A;205A
23A;233A
23A;64A
23A;102A
23A;242A
23A;172A
23A;207A
23A;104A
23A;106A
23A;243A
23A;265A
23A;153A
23A;82A
23A;9A
23A;294A
23A;244A
23A;107A
23A;108A
23A;38A
23A;83A
23A;40A
23A;41A
23A;42A
23A;43A
23A;44A
23A;109A
23A;45A
23A;10A
23A;110A
23A;154A
23A;193A
23A;209A
23A;69A
23A;71A
23A;46A
23A;72A
23A;11A
23A;12A
23A;13A
23A;384A
23A;47A
23A;296A
23A;210A
23A;14A
23A;48A
23A;111A
23A;49A
23A;385A
23A;146A
23A;211A
23A;112A
23A;94A
23A;76A
23A;287A
23A;50A
23A;51A
25A;3A
25A;5A
25A;94A
26A;3A
26A;79A
26A;235A
26A;22A
26A;260A
26A;90A
26A;5A
26A;99A
26A;240A
26A;91A
26A;6A
26A;32A
26A;205A
26A;103A
26A;35A
26A;104A
26A;82A
26A;93A
26A;9A
26A;244A
26A;108A
26A;83A
26A;109A
26A;110A
26A;72A
26A;11A
26A;12A
26A;13A
26A;47A
26A;173A
26A;49A
26A;211A
26A;112A
26A;94A
27A;89A
27A;95A
27A;129A
27A;150A
27A;212A
27A;3A
27A;130A
27A;79A
27A;96A
27A;23A
27A;90A
27A;5A
27A;98A
27A;99A
27A;151A
27A;275A
27A;75A
27A;241A
27A;91A
27A;101A
27A;32A
27A;205A
27A;152A
27A;64A
27A;102A
27A;103A
27A;35A
27A;8A
27A;424A
27A;104A
27A;105A
27A;106A
27A;82A
27A;9A
27A;244A
27A;107A
27A;108A
27A;66A
27A;40A
27A;41A
27A;42A
27A;44A
27A;109A
27A;110A
27A;193A
27A;69A
27A;182A
27A;46A
27A;72A
27A;144A
27A;11A
27A;12A
27A;13A
27A;47A
27A;14A
27A;48A
27A;111A
27A;49A
27A;146A
27A;211A
27A;112A
27A;94A
27A;50A
27A;51A
27A;425A
27A;118A
27A;15A
28A;89A
28A;3A
28A;281A
28A;4A
28A;184A
28A;131A
28A;97A
28A;5A
28A;27A
28A;187A
28A;8A
28A;310A
28A;107A
28A;108A
28A;83A
28A;40A
28A;11A
28A;12A
28A;167A
28A;94A
28A;76A
28A;117A
28A;446A
29A;17A
29A;212A
29A;3A
29A;130A
29A;79A
29A;22A
29A;184A
29A;97A
29A;5A
29A;27A
29A;99A
29A;75A
29A;63A
29A;80A
29A;471A
29A;6A
29A;64A
29A;33A
29A;34A
29A;103A
29A;472A
29A;35A
29A;8A
29A;36A
29A;9A
29A;310A
29A;83A
29A;40A
29A;45A
29A;68A
29A;71A
29A;46A
29A;72A
29A;11A
29A;12A
29A;13A
29A;47A
29A;14A
29A;473A
29A;49A
29A;112A
29A;94A
29A;76A
29A;50A
29A;474A
29A;55A
31A;17A
31A;3A
31A;5A
31A;133A
31A;98A
31A;80A
