Source,Target,Type,Id,Label,Weight,Edge Color
1,16,Directed,380476,,1,
1,15,Directed,380475,,1,
1,14,Directed,380474,,1,
1,13,Directed,380473,,1,
1,12,Directed,380472,,1,
1,11,Directed,380471,,1,
1,10,Directed,380470,,1,
1,9,Directed,380469,,1,
1,8,Directed,380468,,1,
1,6,Directed,380466,,1,
1,5,Directed,380465,,1,
1,4,Directed,380464,,1,
1,3,Directed,380463,,1,
1,2,Directed,380462,,1,
675,1,Directed,394835,,1,
13,1,Directed,388468,,1,
578,1,Directed,387414,,1,
408,1,Directed,386545,,1,
406,1,Directed,383778,,1,
60,1,Directed,383673,,1,
431,1,Directed,383051,,1,
131,1,Directed,381996,,1,
169,1,Directed,380771,,1,
17,1,Directed,380477,,1,
2,76,Directed,380853,,1,
2,57,Directed,380852,,1,
2,166,Directed,380851,,1,
2,13,Directed,380850,,1,
2,12,Directed,380849,,1,
2,11,Directed,380848,,1,
2,46,Directed,380847,,1,
2,188,Directed,380846,,1,
2,10,Directed,380844,,1,
2,109,Directed,380843,,1,
2,42,Directed,380842,,1,
2,83,Directed,380841,,1,
2,38,Directed,380840,,1,
2,8,Directed,380839,,1,
2,187,Directed,380838,,1,
2,34,Directed,380837,,1,
2,27,Directed,380836,,1,
2,186,Directed,380835,,1,
2,5,Directed,380834,,1,
2,184,Directed,380831,,1,
2,3,Directed,380830,,1,
2,129,Directed,380829,,1,
2,19,Directed,380828,,1,
787,2,Directed,397373,,1,
484,2,Directed,393683,,1,
367,2,Directed,393262,,1,
115,2,Directed,391626,,1,
50,2,Directed,389508,,1,
147,2,Directed,389388,,1,
112,2,Directed,389240,,1,
385,2,Directed,389114,,1,
145,2,Directed,389053,,1,
473,2,Directed,388954,,1,
166,2,Directed,388944,,1,
173,2,Directed,388827,,1,
12,2,Directed,388445,,1,
144,2,Directed,388417,,1,
248,2,Directed,388014,,1,
188,2,Directed,387990,,1,
71,2,Directed,387907,,1,
70,2,Directed,387829,,1,
193,2,Directed,387708,,1,
10,2,Directed,387642,,1,
578,2,Directed,387420,,1,
41,2,Directed,387276,,1,
247,2,Directed,387240,,1,
562,2,Directed,387141,,1,
534,2,Directed,387062,,1,
159,2,Directed,386866,,1,
504,2,Directed,386597,,1,
38,2,Directed,386509,,1,
265,2,Directed,385899,,1,
106,2,Directed,385787,,1,
8,2,Directed,385460,,1,
309,2,Directed,385227,,1,
187,2,Directed,385163,,1,
242,2,Directed,385125,,1,
64,2,Directed,384860,,1,
32,2,Directed,384625,,1,
548,2,Directed,384554,,1,
241,2,Directed,384086,,1,
414,2,Directed,384069,,1,
138,2,Directed,384053,,1,
137,2,Directed,383851,,1,
283,2,Directed,383735,,1,
478,2,Directed,383719,,1,
151,2,Directed,383142,,1,
171,2,Directed,383064,,1,
5,2,Directed,382530,,1,
23,2,Directed,382341,,1,
157,2,Directed,381936,,1,
289,2,Directed,381832,,1,
165,2,Directed,381653,,1,
79,2,Directed,381402,,1,
3,2,Directed,381177,,1,
19,2,Directed,380857,,1,
18,2,Directed,380727,,1,
4,11,Directed,381641,,1,
4,40,Directed,381640,,1,
4,83,Directed,381639,,1,
4,82,Directed,381637,,1,
4,6,Directed,381635,,1,
4,91,Directed,381634,,1,
4,240,Directed,381633,,1,
4,26,Directed,381632,,1,
4,5,Directed,381631,,1,
4,260,Directed,381630,,1,
4,235,Directed,381628,,1,
376,4,Directed,389196,,1,
250,4,Directed,388984,,1,
173,4,Directed,388833,,1,
568,4,Directed,388762,,1,
384,4,Directed,388551,,1,
579,4,Directed,388185,,1,
684,4,Directed,387878,,1,
109,4,Directed,387501,,1,
44,4,Directed,387349,,1,
83,4,Directed,386990,,1,
66,4,Directed,386696,,1,
107,4,Directed,386383,,1,
294,4,Directed,386279,,1,
9,4,Directed,386266,,1,
142,4,Directed,386248,,1,
293,4,Directed,386125,,1,
8,4,Directed,385465,,1,
187,4,Directed,385165,,1,
548,4,Directed,384557,,1,
479,4,Directed,384342,,1,
407,4,Directed,384305,,1,
508,4,Directed,384146,,1,
241,4,Directed,384091,,1,
60,4,Directed,383677,,1,
240,4,Directed,383586,,1,
238,4,Directed,383527,,1,
202,4,Directed,383473,,1,
28,4,Directed,383235,,1,
171,4,Directed,383069,,1,
405,4,Directed,382651,,1,
396,4,Directed,382598,,1,
23,4,Directed,382350,,1,
356,4,Directed,382178,,1,
97,4,Directed,382133,,1,
131,4,Directed,381998,,1,
157,4,Directed,381939,,1,
289,4,Directed,381836,,1,
281,4,Directed,381588,,1,
235,4,Directed,381491,,1,
258,4,Directed,381120,,1,
254,4,Directed,381101,,1,
59,4,Directed,381015,,1,
128,4,Directed,380653,,1,
6,462,Directed,384390,,1,
6,121,Directed,384389,,1,
6,112,Directed,384387,,1,
6,153,Directed,384386,,1,
6,80,Directed,384385,,1,
392,6,Directed,398496,,1,
631,6,Directed,398215,,1,
495,6,Directed,398163,,1,
487,6,Directed,397339,,1,
352,6,Directed,396223,,1,
675,6,Directed,394861,,1,
484,6,Directed,393686,,1,
741,6,Directed,392730,,1,
909,6,Directed,392447,,1,
740,6,Directed,392139,,1,
861,6,Directed,390191,,1,
147,6,Directed,389397,,1,
331,6,Directed,389369,,1,
94,6,Directed,389321,,1,
266,6,Directed,389290,,1,
112,6,Directed,389253,,1,
286,6,Directed,389206,,1,
211,6,Directed,389190,,1,
146,6,Directed,389140,,1,
145,6,Directed,389075,,1,
596,6,Directed,389040,,1,
473,6,Directed,388957,,1,
111,6,Directed,388897,,1,
48,6,Directed,388787,,1,
14,6,Directed,388732,,1,
285,6,Directed,388584,,1,
13,6,Directed,388494,,1,
11,6,Directed,388437,,1,
346,6,Directed,388364,,1,
46,6,Directed,388333,,1,
324,6,Directed,388301,,1,
390,6,Directed,388275,,1,
579,6,Directed,388212,,1,
248,6,Directed,388045,,1,
188,6,Directed,387997,,1,
650,6,Directed,387984,,1,
71,6,Directed,387936,,1,
684,6,Directed,387882,,1,
457,6,Directed,387865,,1,
69,6,Directed,387822,,1,
666,6,Directed,387811,,1,
68,6,Directed,387603,,1,
432,6,Directed,387562,,1,
578,6,Directed,387442,,1,
67,6,Directed,387404,,1,
44,6,Directed,387362,,1,
43,6,Directed,387343,,1,
42,6,Directed,387333,,1,
41,6,Directed,387289,,1,
247,6,Directed,387254,,1,
337,6,Directed,387206,,1,
277,6,Directed,387167,,1,
40,6,Directed,387111,,1,
290,6,Directed,387033,,1,
83,6,Directed,387001,,1,
245,6,Directed,386845,,1,
66,6,Directed,386736,,1,
334,6,Directed,386576,,1,
107,6,Directed,386404,,1,
310,6,Directed,386355,,1,
294,6,Directed,386289,,1,
